상품명,스펙목록,가격
LG전자 오브제컬렉션 코드제로 A9S AX9604WE + 에어로퍼니처(원형) AS062PWHAR,"
												핸디스틱청소기+공기청정기세트 / 															무선 / 																											흡입 / 																											흡입력: 												250W / 															소비전력: 												620W / [구성] 거치대: 															올인원타워, 																											먼지비움, 																											UVC LED, 																											충전, 																											거치 / 																											스탠드거치 / 																											먼지봉투: 																											2.5L / 																											먼지비움시간: 																											30초 / 												브러쉬: 															와이드바닥, 																											물걸레(별매) / 																											솔형 / 																											틈새 / 												[배터리] 사용시간: 												1시간 / 															충전시간: 												4시간 / 															분리형(1개) / 																											리튬이온 / 																											25.2V / 												[청소] LED라이트 / 																											스마트인버터모터 / 												[부가] 스마트폰제어 / 																											대화형알림창 / 																											헤파필터 / 																											5단계여과 / 																											색상: 												카밍베이지 / 															무게: 												2.47kg / 2023년형 / 크기(가로x세로x깊이): 300x1120x245mm / ※ 상품 옵션 확인 후 구매											",1390000
LG전자 오브제컬렉션 코드제로 A9S AX9888WE + M9 MO972WA,"
												핸디스틱청소기+로봇청소기세트 / 															무선 / 																											흡입+물걸레 / 																											흡입력: 												280W / 															소비전력: 												677W / [구성] 거치대: 															올인원타워, 																											먼지비움, 																											충전, 																											거치 / 																											스탠드거치 / 																											먼지봉투: 																											2.5L / 																											먼지비움시간: 																											30초 / 												브러쉬: 															와이드바닥, 																											스팀온수물걸레 / 																											솔형 / 																											틈새 / 												[배터리] 사용시간: 												1시간 / 															충전시간: 												4시간 / 															분리형(2개) / 																											리튬이온 / 																											25.2V / 												[청소] 싸이클론흡입 / 																											LED라이트 / 																											자동물공급 / 																											스마트인버터모터 / 												[부가] 스마트폰제어 / 																											대화형알림창 / 																											워셔블헤파필터 / 																											5단계여과 / 																											색상: 												카밍베이지 / 															무게: 												2.47kg / 2023년형 / 크기(가로x세로x깊이): 300x1120x245mm / ※ 상품 옵션 확인 후 구매											",2614000
LG전자 오브제컬렉션 코드제로 A9S AX9804WE + M9 MO972WA,"
												핸디스틱청소기+로봇청소기세트 / 															무선 / 																											흡입 / 																											흡입력: 												250W / 															소비전력: 												620W / [구성] 거치대: 															올인원타워, 																											먼지비움, 																											UVC LED, 																											충전, 																											거치 / 																											스탠드거치 / 																											먼지봉투: 																											2.5L / 																											먼지비움시간: 																											30초 / 												브러쉬: 															와이드바닥, 																											물걸레(별매) / 																											침구 / 																											솔형 / 																											틈새 / 												[배터리] 사용시간: 												1시간 / 															충전시간: 												4시간 / 															분리형(1개) / 																											리튬이온 / 																											25.2V / 												[청소] 싸이클론흡입 / 																											LED라이트 / 																											스마트인버터모터 / 												[부가] 스마트폰제어 / 																											대화형알림창 / 																											워셔블헤파필터 / 																											5단계여과 / 																											색상: 												카밍베이지 / 															무게: 												2.47kg / 2023년형 / 크기(가로x세로x깊이): 300x1120x245mm / ※ 상품 옵션 확인 후 구매											",2064000
LG전자 오브제컬렉션 코드제로 A9S AX9984WE + M9 MO972WA + R9 RO965WB,"
												핸디스틱청소기+로봇청소기세트 / 															무선 / 																											흡입+물걸레 / 																											흡입력: 												250W / 															소비전력: 												620W / [구성] 거치대: 															올인원타워, 																											먼지비움, 																											UVC LED, 																											충전, 																											거치 / 																											스탠드거치 / 																											먼지봉투: 																											2.5L / 																											먼지비움시간: 																											30초 / 												브러쉬: 															와이드바닥, 																											스팀온수물걸레 / 																											침구 / 																											솔형 / 																											틈새 / 												[배터리] 사용시간: 												1시간 / 															충전시간: 												4시간 / 															분리형(2개) / 																											리튬이온 / 																											25.2V / 												[청소] 싸이클론흡입 / 																											LED라이트 / 																											자동물공급 / 																											스마트인버터모터 / 												[부가] 스마트폰제어 / 																											대화형알림창 / 																											워셔블헤파필터 / 																											5단계여과 / 																											색상: 												카밍베이지 / 															무게: 												2.47kg / 2023년형 / 크기(가로x세로x깊이): 300x1120x245mm / ※ 상품 옵션 확인 후 구매											",4004000
LG전자 오브제컬렉션 코드제로 A9 AU9402WD + MO972WA,"
												핸디스틱청소기+로봇청소기세트 / 															무선 / 																											흡입 / 																											흡입력: 												220W / 															소비전력: 												590W / [구성] 거치대: 															올인원타워, 																											먼지비움, 																											충전, 																											거치 / 																											스탠드거치 / 																											먼지봉투: 																											2.5L / 																											먼지비움시간: 																											60초 / 												브러쉬: 															바닥, 																											물걸레(별매) / 																											침구 / 																											솔형 / 																											틈새 / 												[배터리] 사용시간: 												1시간 / 															충전시간: 												4시간 / 															분리형(1개) / 																											리튬이온 / 																											25.2V / 												[청소] 싸이클론흡입 / 																											LED라이트 / 																											스마트인버터모터 / 												[부가] 디스플레이표시 / 																											워셔블헤파필터 / 																											5단계여과 / 																											색상: 												카밍베이지 / 															무게: 												2.5kg / 2023년형 / 크기(가로x세로x깊이): 250x1120x260mm / ※ 상품 옵션 확인 후 구매											",1864000
LG전자 오브제컬렉션 코드제로 A9S AX9974WE + MO972WA,"
												핸디스틱청소기+로봇청소기세트 / 															무선 / 																											흡입+물걸레 / 																											흡입력: 												250W / 															소비전력: 												620W / [구성] 거치대: 															올인원타워, 																											먼지비움, 																											UVC LED, 																											충전, 																											거치 / 																											스탠드거치 / 																											먼지봉투: 																											2.5L / 																											먼지비움시간: 																											30초 / 												브러쉬: 															와이드바닥, 																											물걸레 / 																											침구 / 																											솔형 / 																											틈새 / 																											연장툴 / 												[배터리] 사용시간: 												1시간 / 															충전시간: 												4시간 / 															분리형(2개) / 																											리튬이온 / 																											25.2V / 												[청소] 싸이클론흡입 / 																											LED라이트 / 																											자동물공급 / 																											스마트인버터모터 / 												[부가] 스마트폰제어 / 																											대화형알림창 / 																											워셔블헤파필터 / 																											5단계여과 / 																											색상: 												카밍베이지 / 															무게: 												2.47kg / 2023년형 / 크기(가로x세로x깊이): 300x1120x245mm / 											",2314000
LG전자 오브제컬렉션 코드제로 A9S AX9884GE + M9 MO972GA + R9 RO965GB,"
												핸디스틱청소기+로봇청소기세트 / 															무선 / 																											흡입+물걸레 / 																											흡입력: 												250W / 															소비전력: 												620W / [구성] 거치대: 															올인원타워, 																											먼지비움, 																											UVC LED, 																											충전, 																											거치 / 																											스탠드거치 / 																											먼지봉투: 																											2.5L / 																											먼지비움시간: 																											30초 / 												브러쉬: 															와이드바닥, 																											스팀온수물걸레 / 																											솔형 / 																											틈새 / 												[배터리] 사용시간: 												1시간 / 															충전시간: 												4시간 / 															분리형(2개) / 																											리튬이온 / 																											25.2V / 												[청소] 싸이클론흡입 / 																											LED라이트 / 																											자동물공급 / 																											스마트인버터모터 / 												[부가] 스마트폰제어 / 																											대화형알림창 / 																											워셔블헤파필터 / 																											5단계여과 / 																											색상: 												카밍그린 / 															무게: 												2.47kg / 2023년형 / 크기(가로x세로x깊이): 300x1120x245mm / ※ 상품 옵션 확인 후 구매											",4004000
LG전자 오브제컬렉션 코드제로 A9 AU9572WD + M9 MO972WA,"
												핸디스틱청소기+로봇청소기세트 / 															무선 / 																											흡입+물걸레 / 																											흡입력: 												220W / 															소비전력: 												590W / [구성] 거치대: 															올인원타워, 																											먼지비움, 																											충전, 																											거치 / 																											스탠드거치 / 																											먼지봉투: 																											2.5L / 																											먼지비움시간: 																											60초 / 												브러쉬: 															바닥, 																											물걸레 / 																											침구 / 																											솔형 / 																											틈새 / 												[배터리] 사용시간: 												1시간 / 															충전시간: 												4시간 / 															분리형(2개) / 																											리튬이온 / 																											25.2V / 												[청소] 싸이클론흡입 / 																											LED라이트 / 																											자동물공급 / 																											스마트인버터모터 / 												[부가] 디스플레이표시 / 																											워셔블헤파필터 / 																											5단계여과 / 																											색상: 												카밍베이지 / 															무게: 												2.5kg / 2023년형 / 크기(가로x세로x깊이): 250x1120x260mm / ※ 상품 옵션 확인 후 구매											",2114000
LG전자 오브제컬렉션 코드제로 A9S AX9888WE + M9 MO972WA +R9 RO965WB,"
												핸디스틱청소기+로봇청소기세트 / 															무선 / 																											흡입+물걸레 / 																											흡입력: 												280W / 															소비전력: 												677W / [구성] 거치대: 															올인원타워, 																											먼지비움, 																											충전, 																											거치 / 																											스탠드거치 / 																											먼지봉투: 																											2.5L / 																											먼지비움시간: 																											30초 / 												브러쉬: 															와이드바닥, 																											스팀온수물걸레 / 																											솔형 / 																											틈새 / 												[배터리] 사용시간: 												1시간 / 															충전시간: 												4시간 / 															분리형(2개) / 																											리튬이온 / 																											25.2V / 												[청소] 싸이클론흡입 / 																											LED라이트 / 																											자동물공급 / 																											스마트인버터모터 / 												[부가] 스마트폰제어 / 																											대화형알림창 / 																											워셔블헤파필터 / 																											5단계여과 / 																											색상: 												카밍베이지 / 															무게: 												2.47kg / 2023년형 / 크기(가로x세로x깊이): 300x1120x245mm / ※ 상품 옵션 확인 후 구매											",4204000
LG전자 오브제컬렉션 코드제로 A9S AX9804WE + M9 MO972WA + R9 RO965WB,"
												핸디스틱청소기+로봇청소기세트 / 															무선 / 																											흡입 / 																											흡입력: 												250W / 															소비전력: 												620W / [구성] 거치대: 															올인원타워, 																											먼지비움, 																											UVC LED, 																											충전, 																											거치 / 																											스탠드거치 / 																											먼지봉투: 																											2.5L / 																											먼지비움시간: 																											30초 / 												브러쉬: 															와이드바닥, 																											물걸레(별매) / 																											침구 / 																											솔형 / 																											틈새 / 												[배터리] 사용시간: 												1시간 / 															충전시간: 												4시간 / 															분리형(1개) / 																											리튬이온 / 																											25.2V / 												[청소] 싸이클론흡입 / 																											LED라이트 / 																											스마트인버터모터 / 												[부가] 스마트폰제어 / 																											대화형알림창 / 																											워셔블헤파필터 / 																											5단계여과 / 																											색상: 												카밍베이지 / 															무게: 												2.47kg / 2023년형 / 크기(가로x세로x깊이): 300x1120x245mm / ※ 상품 옵션 확인 후 구매											",3654000
LG전자 코드제로 A9 AT9170IA,"
핸디스틱청소기 / 																											무선 / 																											흡입+물걸레 / 																											흡입력: 												200W / 															소비전력: 												590W / [구성] 거치대: 															올인원타워, 																											먼지비움, 																											충전, 																											거치 / 																											스탠드거치 / 																											먼지비움시간: 																											60초 / 												브러쉬: 															바닥, 																											물걸레 / 																											솔형 / 																											틈새 / 												[배터리] 사용시간: 												40분 / 															충전시간: 												4시간 / 															분리형(1개) / 																											리튬이온 / 																											25.2V / 												[청소] 싸이클론흡입 / 																											스마트인버터모터 / 												[부가] 배터리잔량표시 / 																											워셔블헤파필터 / 																											5단계여과 / 																											색상: 												아이언그레이+딥그레이 / 															무게: 												2.5kg / 2023년형 / 크기(가로x세로x깊이): 250x1120x260mm											",721750
테팔 에어포스360 TY9079,"
핸디스틱청소기 / 																											무선 / 																											흡입 / 												[구성] 거치대: 															충전, 																											거치 / 																											벽걸이거치 / 												브러쉬: 															바닥 / 																											틈새 / 																											패브릭 / 																											미니바닥 / 												[배터리] 사용시간: 												20분 / 															충전시간: 												3시간 / 															리튬이온 / 																											21.9V / 												[청소] 싸이클론흡입 / 																											LED라이트 / 																											BLDC모터 / 												[부가] 배터리잔량표시 / 																											먼지필터 / 																											5단계여과 / 																											무게: 												2.8kg / 2018년형 / 크기(가로x세로x깊이): 250x1145x260mm											",380840
삼성전자 비스포크 슬림 VS15A680AEW,"
스틱청소기 / 																											무선 / 																											흡입 / 																											흡입력: 												150W / 															소비전력: 												450W / [구성] 브러쉬: 															바닥, 																											물걸레(별매) / 																											틈새 / 												[배터리] 사용시간: 												50분 / 															충전시간: 												4시간 / 															내장형 / 																											리튬이온 / 																											2200mAh / 																											21.6V / 												[청소] 싸이클론흡입 / 																											LED라이트 / 																											디지털인버터모터 / 																											먼지통: 												0.3L / [부가] 스마트폰제어 / 																											셀프스탠딩 / 																											먼지필터 / 																											5단계여과 / 																											색상: 												미스티화이트 / 															무게: 												2.6kg / 2021년형 / 크기(가로x세로x깊이): 250x1143x194mm											",305960
샤오미 미지아 K10,"
핸디스틱청소기 / 																											무선 / 																											흡입 / 																											흡입력: 												150AW / [구성] 거치대: 															거치 / 																											벽걸이거치 / 												브러쉬: 															바닥 / 																											침구 / 																											솔형 / 																											틈새 / 																											연장툴 / 												[배터리] 사용시간: 												1시간5분 / 															충전시간: 												4시간 / 															분리형(1개) / 																											3000mAh / 																											25.2V / 												[청소] 싸이클론흡입 / 																											BLDC모터 / 																											먼지통: 												0.5L / 															물통: 												0.25L / [부가] 디스플레이표시 / 																											헤파필터 / 																											5단계여과 ",164908
일렉트로룩스 WELL Q6 WQ61-1EDB,"
핸디스틱청소기 / 																											무선 / 																											흡입 / 												[구성] 거치대: 															충전, 																											거치 / 																											스탠드거치 / 												브러쉬: 															바닥 / 																											솔형 / 																											틈새 / 												[배터리] 사용시간: 												45분 / 															충전시간: 												4시간30분 / 															내장형 / 																											리튬이온 / 																											18V / 												[청소] 싸이클론흡입 / 																											LED라이트 / 																											먼지통: 												0.3L / [부가] 배터리잔량표시 / 																											셀프스탠딩 / 																											먼지필터 / 																											5단계여과 / 																											색상: 												데님블루 / 															무게: 												2.65kg / 2021년형 / 크기(가로x세로x깊이): 258x1105x140mm											",225750
트루쎈 트루스틱 TS365,"
핸디청소기 / 																											무선 / 																											흡입 / 																											흡입력: 												17000Pa / [구성] 거치대: 															충전, 																											거치 / 																											스탠드거치 / 												브러쉬: 															바닥 / 																											침구 / 																											솔형 / 																											틈새 / 												[배터리] 사용시간: 												32분 / 															충전시간: 												4시간30분 / 															2600mAh / 																											BLDC모터 / 																											먼지통: 												75mL / [부가] 워셔블헤파필터 / 																											색상: 												화이트 / 															무게: 												605g / 2023년형											",74110
DIBEA THE NEW,"
핸디스틱청소기 / 																											무선 / 																											흡입 / 																											흡입력: 												140AW / 															흡입력: 												39000Pa / [구성] 브러쉬: 															바닥, 																											물걸레(별매) / 																											침구 / 																											솔형 / 																											틈새 / 																											카펫 / 																											패브릭 / 																											연장툴 / 												[배터리] 사용시간: 												50분 / 															충전시간: 												4시간 / 															분리형(1개) / 																											리튬이온 / 																											2200mAh / 																											25.9V / 												[청소] LED라이트 / 																											BLDC모터 / 																											먼지통: 												0.7L / [부가] 디스플레이표시 / 																											배터리잔량표시 / 																											헤파필터 / 																											6단계여과 / 																											색상: 												화이트 / 															무게: 												2.2kg / 2023년형 / 크기(가로x세로x깊이): 245x1050x200mm											",169000
파빗 2세대 전동청소솔 PRO FB-B270PRO,"
욕실청소기 / 																											무선 / 																											전동회전 / 												[배터리] 사용시간: 												1시간20분 / 															충전시간: 												3시간 / 															리튬이온 / 																											2000mAh / 																											7.4V / 												[부가] 디스플레이표시 / 																											생활방수 / 																											USB충전 / 																											색상: 												화이트 / 															무게: 												0.77kg / 브러쉬: 일반평자, 틈새, 넓은평자 / 크기(가로x세로x깊이): 275x85x170mm											",45970
삼성전자 제트 VS20T9213QE,"
핸디스틱청소기 / 																											무선 / 																											흡입 / 																											흡입력: 												200W / 															소비전력: 												550W / [구성] 거치대: 															거치 / 																											스탠드거치 / 												브러쉬: 															바닥, 																											물걸레(별매) / 																											솔형 / 																											틈새 / 												[배터리] 사용시간: 												1시간 / 															충전시간: 												3시간30분 / 															분리형(1개) / 																											리튬이온 / 																											21.6V / 												[청소] 싸이클론흡입 / 																											인버터모터 / 																											먼지통: 												0.5L / [부가] 디스플레이표시 / 																											프리볼트 / 																											워셔블헤파필터 / 																											5단계여과 / 																											색상: 												민트/그레이 / 															무게: 												2.64kg / 2021년형 / 크기(가로x세로x깊이): 250x1123x215mm											",388850
,,
삼성전자 비스포크 제트 AI VS25C972DR,"
핸디스틱청소기 / 																											무선 / 																											흡입+물걸레 / 																											흡입력: 												250W / [구성] 거치대: 															청정스테이션, 																											먼지비움, 																											UVC LED, 																											싸이클론비움, 																											충전, 																											거치 / 																											스탠드거치 / 																											먼지봉투: 																											1.2L / 																											먼지비움시간: 																											14초 / 												브러쉬: 															바닥, 																											물걸레 / 																											솔형 / 																											틈새 / 												[배터리] 사용시간: 												1시간 / 															충전시간: 												3시간30분 / 															분리형(2개) / 																											리튬이온 / 																											2200+2200mAh / 																											25.2V / 												[청소] 싸이클론흡입 / 																											AI청소 / 																											LED라이트 / 																											물분사 / 																											먼지감지센서 / 																											디지털인버터모터 / 																											먼지통: 												0.5L / 															물통: 												0.15L / [부가] 스마트폰제어 / 																											대화형알림창 / 																											배터리잔량표시 / 																											항균물통 / 																											워셔블헤파필터 / 																											5단계여과 / 																											색상: 												새틴베이지 / 2023년형 / 크기(가로x세로x깊이): 250x942x243mm / 출시가: 1,449,000원											",898070
신일전자 SVC-680G,"
핸디청소기 / 																											무선 / 																											흡입 / 												[구성] 거치대: 															충전, 																											거치 / 																											스탠드거치 / 																											틈새 / 												[배터리] 사용시간: 												15분 / 															충전시간: 												5시간 / 															3.6V / 												[부가] 먼지필터 / 																											색상: 												그레이/실버 / 															무게: 												0.8kg / 크기(가로x세로x깊이): 425x95x90mm											",36780
캐치웰 THC-1000,"
핸디청소기 / 																											무선 / 																											흡입 / 																											흡입력: 												8000Pa / 															소비전력: 												75W / [구성] 거치대: 															거치 / 																											스탠드거치 / 																											솔형 / 																											틈새 / 																											연장툴 / 												[배터리] 사용시간: 												28분 / 															충전시간: 												4시간 / 															2600mAh / 																											10.95V / 												[청소] 싸이클론흡입 / 																											먼지통: 												0.15L / [부가] 프리볼트 / 																											헤파필터 / 																											색상: 												아이언그레이, 엣지블랙, 스톤화이트 / 															무게: 												0.58kg											",37900
다이슨 V8 플러피,"
핸디스틱청소기 / 																											무선 / 																											흡입 / 																											흡입력: 												155AW / 															소비전력: 												485W / [구성] 거치대: 															거치 / 																											벽걸이거치 / 												브러쉬: 															바닥 / 																											침구 / 																											솔형 / 																											틈새 / 																											연장툴 / 												[배터리] 사용시간: 												40분 / 															충전시간: 												5시간 / 															리튬이온 / 																											21.6V / 																											싸이클론흡입 / 												[부가] 먼지필터 / 																											무게: 												2.58kg / 크기(가로x세로x깊이): 250x1264x224mm											",377270
삼성전자 비스포크 제트 VS20B957E5,"
핸디스틱청소기 / 																											무선 / 																											흡입+물걸레 / 																											흡입력: 												220W / [구성] 거치대: 															청정스테이션, 																											먼지비움, 																											UVC LED, 																											충전, 																											거치 / 																											스탠드거치 / 																											먼지봉투: 																											1.2L / 																											먼지비움시간: 																											14초 / 												브러쉬: 															바닥, 																											물걸레 / 																											침구 / 																											솔형 / 																											틈새 / 																											연장툴 / 												[배터리] 사용시간: 												1시간 / 															충전시간: 												3시간30분 / 															분리형(2개) / 																											리튬이온 / 																											2200+2200mAh / 																											25.2V / 												[청소] 싸이클론흡입 / 																											LED라이트 / 																											자동물공급 / 																											물분사 / 																											디지털인버터모터 / 																											먼지통: 												0.5L / [부가] 스마트폰제어 / 																											대화형알림창 / 																											디스플레이표시 / 																											배터리잔량표시 / 																											항균물통 / 																											워셔블헤파필터 / 																											5단계여과 / 																											색상: 												페블그레이 / 2022년형 / 크기(가로x세로x깊이): 250x930x202mm											",734010
,,
다이슨 옴니 글라이드 컴플리트,"
핸디스틱청소기 / 																											무선 / 																											흡입 / 																											흡입력: 												50AW / [구성] 거치대: 															충전, 																											거치 / 																											벽걸이거치 / 												브러쉬: 															전방향바닥 / 																											솔형 / 																											틈새 / 																											미니바닥 / 																											연장툴 / 												[배터리] 사용시간: 												20분 / 															충전시간: 												3시간30분 / 															분리형(1개) / 																											리튬이온 / 																											싸이클론흡입 / 																											먼지통: 												0.2L / [부가] 워셔블헤파필터 / 																											5단계여과 / 																											색상: 												퍼플 / 															무게: 												1.9kg / 2020년형 / 버튼식 / 크기(가로x세로x깊이): 208x1077x92mm											",414770
다이슨 V12 디텍트 슬림 컴플리트 (옐로/니켈),"
핸디스틱청소기 / 																											무선 / 																											흡입 / 																											흡입력: 												150AW / [구성] 거치대: 															충전, 																											거치 / 																											스탠드거치 / 												브러쉬: 															레이저바닥 / 																											펫 / 																											솔형 / 																											틈새 / 																											카펫 / 												[배터리] 사용시간: 												1시간 / 															충전시간: 												3시간30분 / 															분리형(1개) / 												[청소] 싸이클론흡입 / 																											먼지감지센서 / 																											먼지통: 												0.35L / [부가] 디스플레이표시 / 																											워셔블헤파필터 / 																											색상: 												옐로우/니켈 / 															무게: 												2.2kg / 2021년형 / 크기(가로x세로x깊이): 250x1095x252mm											",802310
신일전자 SVC-K720TW,"
핸디스틱청소기 / 																											무선 / 																											흡입전용(물흡입가능) / 																											흡입력: 												22000Pa / 															소비전력: 												40W / [구성] 거치대: 															충전, 																											거치 / 																											스탠드거치 / 												브러쉬: 															바닥 / 																											틈새 / 																											연장툴 / 												[배터리] 사용시간: 												18분 / 															충전시간: 												6시간 30분 / 															리튬이온 / 																											2180mAh / 																											BLDC모터 / 												[부가] 헤파필터 / 																											색상: 												화이트 / 															무게: 												947g											",46860
일렉트로룩스 ZB3302AK,"
핸디스틱청소기 / 																											무선 / 																											흡입 / 												[구성] 거치대: 															거치 / 																											스탠드거치 / 												브러쉬: 															바닥 / 																											침구 / 																											틈새 / 																											패브릭 / 																											연장툴 / 												[배터리] 사용시간: 												42분 / 															충전시간: 												4시간 / 															내장형 / 																											리튬이온 / 																											14.4V / 												[청소] LED라이트 / 																											먼지통: 												0.42L / [부가] 배터리잔량표시 / 																											셀프스탠딩 / 																											먼지필터 / 																											4단계여과 / 																											색상: 												스페이스틸 / 															무게: 												3.22kg / 크기(가로x세로x깊이): 303x690x162mm											",189000
보쉬 GAS18V-1,"
핸디스틱청소기 / 																											무선 / 																											흡입 / 												[구성] 브러쉬: 															바닥 / 																											틈새 / 																											연장툴 / 																											사용시간: 												42분 / 															18V / 																											싸이클론흡입 / 												[부가] 먼지필터 / 																											2단계여과 / 																											색상: 												블랙 / 															무게: 												1.3kg											",74490
삼성전자 비스포크 제트 AI VS28C973DR,"
핸디스틱청소기 / 																											무선 / 																											흡입+물걸레 / 																											흡입력: 												280W / [구성] 거치대: 															청정스테이션, 																											먼지비움, 																											UVC LED, 																											싸이클론비움, 																											충전, 																											거치 / 																											스탠드거치 / 																											먼지봉투: 																											1.2L / 																											먼지비움시간: 																											14초 / 												브러쉬: 															바닥, 																											물걸레 / 																											솔형 / 																											틈새 / 												[배터리] 사용시간: 												1시간20분 / 															충전시간: 												5시간 / 															분리형(2개) / 																											리튬이온 / 																											3970+2200mAh / 																											25.2V / 												[청소] 싸이클론흡입 / 																											AI청소 / 																											LED라이트 / 																											물분사 / 																											먼지감지센서 / 																											디지털인버터모터 / 																											먼지통: 												0.5L / [부가] 스마트폰제어 / 																											대화형알림창 / 																											배터리잔량표시 / 																											항균물통 / 																											워셔블헤파필터 / 																											5단계여과 / 																											색상: 												새틴그레이지 / 2023년형 / 크기(가로x세로x깊이): 250x942x243mm / 출시가: 1,290,900원											",1026200
DIBEA ALLNEW22000 22년형,"
핸디스틱청소기 / 																											무선 / 																											흡입 / 																											흡입력: 												35000Pa / 															소비전력: 												280W / [구성] 브러쉬: 															바닥, 																											물걸레(별매) / 																											침구 / 																											솔형 / 																											틈새 / 																											연장툴 / 												[배터리] 사용시간: 												40분 / 															충전시간: 												4~5시간 / 															내장형 / 																											리튬이온 / 																											2200mAh / 																											22.2V / 												[청소] 싸이클론흡입 / 																											LED라이트 / 																											UV살균 / 																											BLDC모터 / 																											먼지통: 												0.55L / [부가] 배터리잔량표시 / 																											워셔블헤파필터 / 																											4단계여과 / 																											색상: 												스노우화이트 / 															무게: 												2.1kg / 2022년형 / 크기(가로x세로x깊이): 245x1040x212mm											",179100
삼성전자 비스포크 제트 VS20A956A3,"
핸디스틱청소기 / 																											무선 / 																											흡입 / 																											흡입력: 												210W / [구성] 거치대: 															청정스테이션, 																											먼지비움, 																											충전, 																											거치 / 																											스탠드거치 / 																											먼지봉투: 																											1.2L / 																											먼지비움시간: 																											20초 / 												브러쉬: 															바닥, 																											물걸레(별매) / 																											솔형 / 																											틈새 / 																											연장툴 / 												[배터리] 사용시간: 												1시간 / 															충전시간: 												3시간30분 / 															분리형(1개) / 																											리튬이온 / 																											2200mAh / 																											25.2V / 												[청소] 싸이클론흡입 / 																											물분사 / 																											디지털인버터모터 / 																											먼지통: 												0.5L / [부가] 대화형알림창 / 																											디스플레이표시 / 																											배터리잔량표시 / 																											워셔블헤파필터 / 																											5단계여과 / 																											색상: 												미스티화이트 / 															무게: 												2.5kg / 2021년형 / 크기(가로x세로x깊이): 250x930x202mm / 출시가: 1,150,000원											",514520
쿠쿠전자 파워클론 CVC-AE1420,"
핸디스틱청소기 / 																											무선 / 																											흡입 / 																											흡입력: 												140AW / 															소비전력: 												420W / [구성] 거치대: 															충전, 																											거치 / 																											스탠드거치 / 												브러쉬: 															바닥 / 																											침구 / 																											틈새 / 												[배터리] 사용시간: 												35분 / 															분리형(1개) / 												[청소] 먼지감지센서 / 																											BLDC모터 / 												[부가] 디스플레이표시 / 																											워셔블먼지필터 / 																											5단계여과 / 																											색상: 												노블화이트 / 															무게: 												3.1kg / 2022년형 / 크기(가로x세로x깊이): 240x1168x260mm											",203990
테팔 엑스퍼트 3.60 TY6921,"
핸디스틱청소기 / 																											무선 / 																											흡입 / 												[구성] 거치대: 															거치 / 																											벽걸이거치 / 												브러쉬: 															바닥 / 												[배터리] 사용시간: 												45분 / 															충전시간: 												5시간 / 															분리형(1개) / 																											리튬이온 / 																											22V / 												[청소] 싸이클론흡입 / 																											LED라이트 / 																											DC모터 / 																											먼지통: 												0.5L / [부가] 배터리잔량표시 / 																											프리볼트 / 																											워셔블먼지필터 / 																											색상: 												블랙+블루 / 															무게: 												2.2kg / 2020년형											",168260
블랙앤데커 PD1810LR,"
핸디청소기 / 																											무선 / 																											흡입 / 																											흡입력: 												25AW / [구성] 솔형 / 																											틈새 / 												[배터리] 사용시간: 												13분29초 / 															충전시간: 												4시간 / 															리튬이온 / 																											18V / 																											싸이클론흡입 / 																											먼지통: 												0.56L / [부가] 워셔블먼지필터 / 																											2단계여과 / 																											색상: 												레드 / 															무게: 												1.47kg / 크기(가로x세로): 190x215mm											",84900
다이슨 디지털 슬림 컴플리트,"
핸디스틱청소기 / 																											무선 / 																											흡입 / 																											흡입력: 												100AW / [구성] 거치대: 															충전, 																											거치 / 																											스탠드거치 / 												브러쉬: 															바닥 / 																											솔형 / 																											틈새 / 																											미니바닥 / 												[배터리] 사용시간: 												40분 / 															충전시간: 												3시간30분 / 															분리형(1개) / 												[청소] 싸이클론흡입 / 																											먼지통: 												0.3L / [부가] 디스플레이표시 / 																											워셔블헤파필터 / 																											5단계여과 / 																											색상: 												니켈 / 2020년형 / 크기(가로x세로x깊이): 250x1100x250mm											",570420
